nombre_a,hp_a,ataque_a,defensa_a,velocidad_a,nombre_b,hp_b,ataque_b,defensa_b,velocidad_b,gano_a,turnos,dano_a,dano_b
Thanos,232,255,199,83,Kabutops,54,218,146,123,1,1,102,16
Diamondback,64,33,147,57,Captain Marvel II,208,205,136,68,0,2,1,127
Kenya,9,10,2,1,Shriek,64,17,99,57,0,1,0,15
Chansey,255,1,1,67,Cambodia,4,4,2,1,1,4,4,9
Shocker,162,17,136,57,San Marino,1,1,9,3,1,1,9,0
Marowak,54,149,153,57,Marshall Islands,1,1,6,2,1,1,152,0
Vatican City,1,1,32,255,San Marino,1,1,9,3,1,1,1,0
Uruguay,2,4,1,1,Omanyte,27,70,139,39,0,1,0,61
Kiribati,1,1,3,1,Havok,138,17,107,63,0,1,0,15
Space Ghost,92,38,199,83,Enchantress,138,27,94,63,0,92,92,92
Rhino,208,202,213,109,Venom II,162,141,136,119,1,3,201,3
Gamora,197,215,252,106,Bling!,208,27,62,29,1,2,304,1
Power Girl,232,255,186,255,Madagascar,5,10,2,1,1,1,219,0
Nightwing,64,20,252,83,Boom-Boom,97,17,157,29,0,64,64,64
Sinestro,148,215,133,134,Leader,31,17,99,29,1,1,111,0
Gamora,197,215,252,106,Legion,69,255,186,106,1,3,84,6
Pinsir,59,237,139,133,Vibe,69,17,67,42,1,1,191,0
Stormtrooper,34,12,41,19,Gamora,197,215,252,106,0,1,0,183
Captain Atom,208,236,199,211,Flash IV,73,17,115,255,1,1,127,1
Tanzania,9,15,2,1,Jim Powell,185,91,41,57,0,1,0,94
Red Tornado,138,91,94,170,Captain Britain,138,194,199,127,0,2,2,212
Copycat,57,17,147,52,Stardust,255,215,213,255,0,1,0,69
John Stewart,148,215,160,106,Red Arrow,45,33,199,63,1,3,50,2
Giganta,197,226,99,57,Matt Parkman,31,17,136,29,1,1,88,0
Wasp,120,35,99,147,Deadshot,64,17,199,57,1,64,64,63
Steppenwolf,232,255,252,211,Moldova,2,2,3,1,1,1,232,0
Metallo,220,131,157,57,Vulture,57,49,67,106,1,1,73,1
Matt Parkman,31,17,136,29,Elektra,64,20,252,75,0,31,30,31
Sierra Leone,2,2,2,1,Rhino,208,202,213,109,0,1,0,171
Mozambique,5,13,1,1,Japan,25,7,6,1,0,1,7,6
Doomsday,232,255,226,170,Yoda,57,128,226,83,1,2,58,1
Koffing,33,119,132,39,Cambodia,4,4,2,1,1,1,110,0
John Constantine,92,17,160,19,Zatanna,64,17,136,57,1,64,64,64
Jolt,73,22,99,68,Gorilla Grodd,162,131,160,83,0,3,2,91
Venom III,208,184,136,88,Jessica Cruz,115,229,133,116,0,3,100,282
JJ Powell,22,17,14,19,Offspring,229,17,136,88,0,8,7,24
Hong Kong,2,1,96,1,Swarm,208,38,80,127,0,2,1,2
Red Mist,31,17,136,57,Lickitung,86,99,103,29,0,31,31,31
Two-Face,31,17,62,29,Changeling,97,17,157,57,0,31,30,31
Havok,138,17,107,63,Scarecrow,31,17,120,29,1,31,31,30
Emma Frost,208,157,99,88,Shadowcat,57,12,173,52,1,57,57,56
Aerodactyl,75,198,88,217,Two-Face,31,17,62,29,1,1,142,0
Red Mist,31,17,136,57,Deathlok,162,75,147,75,0,31,30,31
Power Girl,232,255,186,255,Deathlok,162,75,147,75,1,2,201,1
Gambit,64,17,210,57,Taiwan,5,2,11,1,1,1,6,0
Rorschach,45,17,199,73,Sinestro,148,215,133,134,0,3,2,45
Evilhawk,162,75,157,83,Living Tribunal,232,255,67,255,0,2,8,199
Svalbard and Jan Mayen,1,2,1,1,Deathlok,162,75,147,75,0,1,0,80
Cayman Islands,1,1,4,1,Groot,162,215,157,83,0,1,0,207
Suriname,1,3,1,1,Wildfire,232,75,99,57,0,1,0,78
Mockingbird,45,72,239,96,Plastic Man,232,157,136,57,0,45,45,45
Seadra,49,119,132,133,Luna,31,6,25,211,1,1,96,1
Daphne Powell,22,17,14,19,Giganta,197,226,99,57,0,1,0,219
Namora,97,215,157,106,Monaco,1,1,255,58,1,1,1,0
Mach-IV,194,86,136,152,Saint Kitts and Nevis,1,1,4,1,1,1,90,0
Green Goblin II,115,136,57,93,Ditto,41,86,63,63,1,1,73,0
Colossus,232,210,199,83,Black Panther,138,33,252,75,1,138,138,137
Electabuzz,59,155,76,170,Red Hulk,197,255,186,119,0,1,1,200
Madagascar,5,10,2,1,Tempest,64,17,147,114,0,1,0,14
Mayotte,1,1,7,1,Nightwing,64,20,252,83,0,1,0,12
Nigeria,30,15,4,1,Captain Marvel II,208,205,136,68,0,1,0,185
Moses Magnum,97,64,136,29,Guyana,1,4,1,1,1,1,60,0
Sauron,232,215,173,83,Heat Wave,104,17,67,42,1,1,147,0
Red Mist,31,17,136,57,Dratini,34,117,59,67,0,31,30,31
Wyatt Wingfoot,1,17,136,29,John Stewart,148,215,160,106,0,1,0,74
Italy,13,5,4,1,Yellowjacket II,64,17,62,88,0,2,1,24
Dash,138,22,67,234,Vatican City,1,1,32,255,1,1,1,1
Turkey,16,13,2,1,Groot,162,215,157,83,0,1,0,243
Captain Cold,45,17,41,42,Hellboy,220,131,186,52,0,1,0,90
North Korea,5,3,4,1,Turkey,16,13,2,1,0,1,1,8
Réunion,1,1,6,1,Lithuania,2,2,2,1,0,1,1,1
Stardust,255,215,213,255,Kick-Ass,80,17,136,57,1,2,144,1
Godzilla,232,255,41,137,Scarlet Witch,162,17,199,73,1,3,165,2
Frenzy,232,131,125,88,Multiple Man,162,20,152,57,1,162,162,161
Bullseye,162,20,173,63,Silverclaw,97,64,99,88,1,97,97,97
Dazzler,138,17,133,83,She-Hulk,232,255,173,106,0,2,1,243
Magikarp,12,11,74,123,Chad,3,20,1,1,1,1,9,0
Doomsday,232,255,226,170,Ronin,22,22,199,52,1,1,62,0
Iron Man,197,215,157,147,White Canary,34,9,226,83,1,34,34,33
Magikarp,12,11,74,123,Hawk,220,91,99,88,0,1,1,16
Superboy,208,242,147,211,Mr Incredible,220,210,94,83,1,2,283,57
Franklin Richards,138,202,120,127,Marowak,54,149,153,57,1,1,56,0
U.S. Minor Outlying Islands,1,1,1,113,Stephanie Powell,22,17,14,137,0,1,0,15
Gog,166,80,136,119,Lightning Lad,64,17,99,57,1,64,64,63
Plastique,64,17,99,57,Thanos,232,255,199,83,0,1,0,147
Iron Fist,115,136,252,83,Spider-Woman,138,102,173,106,0,115,114,115
Iceland,1,3,1,1,Plastique,64,17,99,57,0,1,0,18
Black Adam,232,255,136,234,Hawk,220,91,99,88,1,2,349,1
Sabretooth,208,117,252,96,Killer Croc,208,131,147,88,1,200,200,200
